Quantity,Manufacture Part Number,Manufacturer(optional),Description(optional),Package(optional),LCSC Part
1,CC0603KRX7R9BB474,Yageo,470n,0603,C1622
1,CL10A105KB8NNNC,Samsung,1u,0603,C15849
4,CC0603KRX7R9BB104,Yageo,100n,0603,C14663
1,CC0603KRX7R9BB102,Yageo,10n,0603,C100040
4,CL10A106MQ8NNNC,Samsung,10u,0603,C19702
1,CL10A225KP8NNNC,Samsung,2.2u,0603,C23630
1,NCD0402R1,,,0402,C130719
1,YLED0402G,,,0402,C20608784
1,1N5819W,KUU,,D_SOD-123,C2939006
1,NRS4018T2R2MDGJ,Taiyo Yuden,2.2u,IND-SMD_L4.0-W4.0_LQH44PN2R2MP0L,C92959
1,8205A_C5148694,,,TSSOP-8_L4.4-W3.0-P0.65-LS6.4-BL,C5148694
2,BS170,,,SOT-23,C28646320
4,0603WAF4701T5E,Uni-Royal,4.7k,0603,C23162
1,0603WAF2001T5E,Uni-Royal,2K,0603,C25128
2,0603WAF2003T5E,Uni-Royal,200K,0603,C25134
4,0603WAF1002T5E,Uni-Royal,1K,0603,C21190
1,0603WAF8203T5E,Uni-Royal,820k,0603,C24296
1,0603WAF8062T5E,Uni-Royal,80.6k,0603,C23249
1,0603WAF1004T5E,Uni-Royal,100k,0603,C25803
1,0603WAF1000T5E,Uni-Royal,100,0603,C22775
2,TS-1088-AR02016,XUNPU,,SW-SMD_L3.9-W3.0-P4.45,C720477
1,BHI160B,,,LGA-24_L3.0-W3.0-P0.40-TL,C464452
1,BME680,,,LGA-8_L3.0-W3.0-P0.80-TR,C125972
1,MMC5603NJ,,,FLIPCHIP-4_L0.8-W0.8-R2-C2-P0.40-TL,C404328
1,TP4056_C382139,,,ESOP-8_L4.9-W3.9-P1.27-LS6.0-BL-EP,C382139
1,TPS63000DRCT,,,VSON-10_L3.0-W3.0-P0.50-TL-EP_IR3537MTRPBF,C2876573
1,DW01A_C351410,,,SOT-23-6_L2.9-W1.6-P0.95-LS2.8-BL,C351410
1,CH224K,,,ESSOP-10_L4.9-W3.9-P1.0-LS6.0-TL-EP,C970725
1,TYPE-C-31-M-12,,,USB-C_SMD-TYPE-C-31-M-12_1,C165948
